count,State,Crop_Year,,Crop,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Precipitation_val,Temperature_val,DTR,EVI,FPAR,LAI,NDMI,NDVI,VHI,Yield,Avg_Yield,Yield_Anomaly
23,Arunachal Pradesh,2001,,rice,kharif,119455,134621,2128.5,12199939.15,31058.3,1150.8231796457578,17.243878280907346,8.736037698,0.320387097,0.417173913,2.114446003,0.550798536,0.543904692,0.432479027,1.135384615,1.34519314,-0.209808525
24,Arunachal Pradesh,2002,,rice,kharif,124584,152500,2832.8,11794367.28,31146,1564.6679660475306,16.866580360814144,8.914039632,0.320541935,0.449136879,2.291891892,0.552000823,0.554821408,0.453624544,1.182666667,1.34519314,-0.162526473
25,Arunachal Pradesh,2003,,rice,kharif,119205,154589,2782.2,11798910.9,28609.2,1700.5490267637529,17.403816089295503,8.132170109,0.291168915,0.331921459,1.603085554,0.557673641,0.490471848,0.423947535,1.201333333,1.34519314,-0.143859807
26,Arunachal Pradesh,2004,,rice,kharif,121642,134950,2939.5,13178694.28,25544.82,1485.1884789928272,16.70957116913377,8.555759424,0.292054252,0.376234222,1.864025245,0.562770128,0.495479472,0.433369296,1.080625,1.34519314,-0.26456814
27,Arunachal Pradesh,2005,,rice,kharif,122267,146191,2767,14662258.64,25676.07,1506.3194150371771,17.45804421943531,8.98065073,0.328648094,0.413366059,2.092215989,0.561422964,0.550534897,0.459497944,1.16125,1.34519314,-0.18394314
28,Arunachal Pradesh,2006,,rice,kharif,123038,144635,1940,15713182.98,27068.36,912.6703387007378,17.15573387815241,8.91089419,0.355213783,0.431865358,2.182819074,0.544627354,0.617880645,0.472509921,1.151875,1.34519314,-0.19331814
29,Arunachal Pradesh,2007,,rice,kharif,124029,158146,3223.9,16545468.6,19844.64,1202.9214167175323,17.33111572265625,9.219699473,0.333284457,0.419712482,2.118863955,0.54569341,0.570714076,0.450081136,1.225625,1.34519314,-0.11956814
30,Arunachal Pradesh,2008,,rice,kharif,126799,164538,2244.4,18137328.96,11411.91,1704.4457985051629,16.798427648711623,7.891574013,0.315359824,0.426886396,2.175806452,0.550995694,0.543265103,0.442709373,1.183125,1.34519314,-0.16206814
31,Arunachal Pradesh,2009,,rice,kharif,121468,143893,1701.9,18927143.76,20649.56,1392.118239088801,17.56627133018092,8.902493643,0.318804399,0.417636746,2.114446003,0.542398669,0.552811437,0.433832781,1.12,1.34519314,-0.22519314
32,Arunachal Pradesh,2010,,rice,kharif,121570,155993,2574.1,20193992.7,29176.8,1729.673988256146,17.40125582510965,7.66214795,0.271317742,0.358071529,1.753015428,0.561896144,0.478147419,0.418132808,1.219375,1.34519314,-0.12581814
33,Arunachal Pradesh,2011,,rice,kharif,123500,159543,2193.7,20688720,40755,950.4574870472414,17.101616039610747,8.350612012,0.326176833,0.427510519,2.158695652,0.554936217,0.560497067,0.455052449,1.21875,1.34519314,-0.12644314
34,Arunachal Pradesh,2012,,rice,kharif,126085,174662,2760.7,19013618,39086.35,770.9068994884167,16.675344366776315,8.68280695,0.304221114,0.384873773,1.918373072,0.545930542,0.526217889,0.437957596,1.308125,1.34519314,-0.03706814
35,Arunachal Pradesh,2013,,rice,kharif,131989,184104,2042.9,19071090.61,35637.03,1223.324293103265,17.246421412417764,9.439672856,0.34253607,0.449691445,2.303786816,0.547770266,0.595233724,0.470069486,1.300588235,1.34519314,-0.044604905
36,Arunachal Pradesh,2014,,rice,kharif,127200,189992,2403.2,19202112,41976,1372.6391796302378,17.417799564830045,9.169339773,0.295374487,0.398169705,1.96171108,0.54687596,0.510395894,0.42117591,1.447058824,1.34519314,0.101865684
37,Arunachal Pradesh,2015,,rice,kharif,128800,204001,2593.2,20338808,42504,1523.8048200975907,17.16907809073465,8.81564324,0.338060411,0.439123422,2.234431978,0.539035636,0.580736657,0.454054551,2.0875,1.34519314,0.74230686
38,Arunachal Pradesh,2016,,rice,kharif,131000,220000,2933.7,20075750,45850,1687.588998851546,17.03130461040296,8.479162441,0.300738123,0.422671809,2.145862553,0.542949773,0.512894721,0.432596189,1.606,1.34519314,0.26080686
39,Arunachal Pradesh,2017,,rice,kharif,132000,233335,2745.5,20782080,50160,1813.6866894087248,16.998854252330045,7.778938038,0.312728152,0.417173913,2.115007013,0.544444823,0.533190909,0.439815186,1.6915,1.34519314,0.34630686
40,Arunachal Pradesh,2018,,rice,kharif,133200,239998,2992.9,21605040,46620,1229.7324631508243,16.66407320792215,8.466244678,0.304438416,0.397980365,1.97398317,0.553425222,0.518003519,0.431812446,1.737727273,1.34519314,0.392534133
41,Arunachal Pradesh,2019,,rice,kharif,133500,244741,2433.3,22929960,49395,1377.5354482342016,17.17531010142544,9.021185071,0.331977419,0.399810659,2.003786816,0.551907373,0.559917595,0.449651397,1.7792,1.34519314,0.43400686
42,Arunachal Pradesh,2020,,rice,kharif,NA,NA,NA,NA,NA,1692.6898228263385,17.26425866913377,7.25556968,0.312182991,0.36315568,1.819495091,0.545527338,0.520966276,0.436664495,NA,1.34519314,NA
43,Bihar,2000,,rice,kharif,591705,786858,1207,58087679.85,153843.3,1249.8582325752052,27.84414384949882,7.903501049,0.283238843,0.37529588,0.996018944,0.514457326,0.459080165,0.41771735,1.310645161,1.507849462,-0.197204301
44,Bihar,2001,,rice,kharif,126106,243661,1247,12879205.78,32787.56,1327.5619386763506,27.91140919811321,7.18930072,0.289769146,0.377654809,0.997101449,0.513939445,0.468470248,0.438153301,1.792903226,1.507849462,0.285053764
45,Bihar,2002,,rice,kharif,NA,NA,NA,NA,NA,1156.457982872314,28.057525058962263,7.720322039,0.293034711,0.385904996,0.99049959,0.516037495,0.474326446,0.436089832,NA,1.507849462,NA
46,Bihar,2003,,rice,kharif,190236,270831,1353.9,18829559.28,45656.64,1304.1013875031526,27.88895056382665,7.329251136,0.303301377,0.359953887,0.938471673,0.516960308,0.486458402,0.441764353,1.42,1.507849462,-0.087849462
47,Bihar,2004,,rice,kharif,NA,NA,NA,NA,NA,1088.0989250755815,27.66375156618514,9.372361505,0.299261708,0.349321476,0.886824769,0.517630207,0.468019835,0.438062608,NA,1.507849462,NA
48,Bihar,2005,,rice,kharif,NA,NA,NA,NA,NA,934.0730466027305,28.29033157060731,8.914037666,0.303231129,0.353847167,0.921607378,0.521902564,0.476043251,0.438155918,NA,1.507849462,NA
49,Bihar,2006,,rice,kharif,NA,NA,NA,NA,NA,1050.5744046048735,28.08638662662146,6.979749138,0.323556474,0.382345191,0.990777339,0.509703919,0.504278788,0.461306494,NA,1.507849462,NA
50,Bihar,2007,,rice,kharif,NA,NA,NA,NA,NA,1475.1402509980044,28.09019614165684,7.756218742,0.285222039,0.333577075,0.856192358,0.522201646,0.462251791,0.429064637,NA,1.507849462,NA
51,Bihar,2008,,rice,kharif,NA,NA,NA,NA,NA,1240.3474690521944,27.90020867113797,7.673303847,0.291690358,0.358919631,0.948221344,0.520633589,0.46666832,0.446996973,NA,1.507849462,NA
52,Bihar,2009,,rice,kharif,NA,NA,NA,NA,NA,897.3756967234724,28.41170400943396,9.1004327,0.31177135,0.386923584,1.012450593,0.522709234,0.486106061,0.429327462,NA,1.507849462,NA
53,Bihar,2010,,rice,kharif,NA,NA,NA,NA,NA,787.5337853078853,28.605091022995282,8.533035641,0.317075758,0.370507246,0.949934124,0.52090034,0.481329477,0.422240765,NA,1.507849462,NA
54,Bihar,2011,,rice,kharif,NA,NA,NA,NA,NA,1103.487596385181,27.830481187352593,7.52636157,0.315585399,0.377654809,0.997101449,0.520717549,0.491167769,0.444123015,NA,1.507849462,NA
55,Bihar,2012,,rice,kharif,NA,NA,NA,NA,NA,1035.1161800913935,28.141368937942218,9.527439502,0.324035537,0.377582345,1.014097497,0.523815103,0.496581818,0.463948124,NA,1.507849462,NA
56,Bihar,2013,,rice,kharif,NA,NA,NA,NA,NA,1022.746862,28.11322828,7.450936166,0.32926832,0.390889328,1.044729908,0.511190592,0.510108264,0.469715551,NA,1.507849462,NA
57,Bihar,2014,,rice,kharif,NA,NA,NA,NA,NA,972.2504802662528,28.06968141951651,7.973366778,0.328882369,0.391376812,1.053820817,0.516008818,0.50521405,0.460173818,NA,1.507849462,NA
58,Bihar,2015,,rice,kharif,NA,NA,NA,NA,NA,886.1854877,28.454497715212263,8.421417581,0.331526171,0.405678524,1.106060606,0.513526292,0.507073554,0.443206513,NA,1.507849462,NA
59,Bihar,2016,,rice,kharif,NA,NA,NA,NA,NA,1160.5390294860556,27.510014372051888,8.372823767,0.331346832,0.382865613,1.045191041,0.517669785,0.506390634,0.466781838,NA,1.507849462,NA
60,Bihar,2017,,rice,kharif,NA,NA,NA,NA,NA,1119.8673954736794,27.857622254569577,8.149324954,0.337158127,0.3956917,1.096245059,0.516349953,0.509123967,0.470025603,NA,1.507849462,NA
61,Bihar,2018,,rice,kharif,NA,NA,NA,NA,NA,852.3312138,27.73527555645637,8.613419939,0.323047107,0.389057971,1.058300395,0.520895462,0.485903306,0.439923827,NA,1.507849462,NA
62,Bihar,2019,,rice,kharif,NA,NA,NA,NA,NA,1150.5853699411987,28.078562610554247,8.230792932,0.340864187,0.374578393,1.021080369,0.524771451,0.518004132,0.463837779,NA,1.507849462,NA
63,Bihar,2020,,rice,kharif,NA,NA,NA,NA,NA,1391.6305500129765,27.871890661851417,8.404216923,0.310725344,0.363945982,0.992753623,0.529780596,0.487887603,0.456138089,NA,1.507849462,NA
64,Chhattisgarh,2000,,rice,kharif,3769746,2369295,896.4,370075964.8,980133.96,977.6947763758436,26.618569817341548,10.86636901,0.342382205,0.412463902,1.326304275,0.492366141,0.543229207,0.601803796,0.6575,1.426499669,-0.768999669
65,Chhattisgarh,2001,,rice,kharif,3810112,5073721,1550,389126738.6,990629.12,1487.645255179997,26.643932933538732,9.581211636,0.307024371,0.407493062,1.323265495,0.499791569,0.495237137,0.631011759,1.34375,1.426499669,-0.082749669
66,Chhattisgarh,2002,,rice,kharif,3777661,2634853,1001.4,357631166.9,944415.25,947.1637491824132,26.82853419,10.36303505,0.341181818,0.440241518,1.374295572,0.50274202,0.537040039,0.590238018,0.710625,1.426499669,-0.715874669
67,Chhattisgarh,2003,,rice,kharif,3828992,5567644,1643.7,378993628.2,918958.08,1526.2627439090693,26.785176881602112,9.710800224,0.322303095,0.379727105,1.192645698,0.512162762,0.509223598,0.600459536,1.4375,1.426499669,0.011000331
68,Chhattisgarh,2004,,rice,kharif,3843825,4586818,1122.8,416440000.5,807203.25,1047.5623897901723,26.41798594300176,9.784790802,0.352937331,0.422798335,1.335707678,0.499613711,0.555348936,0.629336792,1.160625,1.426499669,-0.265874669
69,Chhattisgarh,2005,,rice,kharif,3854352,5267537,1292.7,462213891.8,809413.92,1197.6062896429023,26.946949273767604,10.22743212,0.340338298,0.391549491,1.238991674,0.504777342,0.547512766,0.613596191,1.30375,1.426499669,-0.122749669
70,Chhattisgarh,2006,,rice,kharif,3905319,5441525,1317.2,498748289.5,859170.18,1320.8059317910336,26.89612676056338,8.730368757,0.32671412,0.399555967,1.2660037,0.504971,0.520869632,0.599991235,1.247222222,1.426499669,-0.179277447
